SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,TRADING_DATE,FILLER2,FILLER3
500002,ABB LTD.    ,A ,Q,2200.00,2283.95,2200.00,2225.30,2212.50,2227.50,3022,183685,415711363.00,,INE117A01022,06-Jan-22,,
500003,AEGIS LOGIS ,A ,Q,214.00,215.65,213.40,214.50,214.45,214.70,1437,42661,9157005.00,,INE208C01025,06-Jan-22,,
500008,AMAR RAJA BA,A ,Q,634.70,637.85,626.00,633.65,633.65,634.40,1736,35079,22204647.00,,INE885A01032,06-Jan-22,,
500009,A.SARABHAI  ,X ,Q,35.45,35.50,34.15,35.20,35.20,35.30,1043,249903,8750644.00,,INE432A01017,06-Jan-22,,
500010,HDFC        ,A ,Q,2652.00,2652.00,2603.75,2622.50,2622.50,2672.85,4350,74944,196546231.00,,INE001A01036,06-Jan-22,,
500012,ANDHRA PETRO,B ,Q,119.00,121.55,118.00,119.40,119.40,120.05,1840,248671,29729628.00,,INE714B01016,06-Jan-22,,
500013,ANSAL INFRAS,B ,Q,13.33,13.50,12.80,13.11,13.10,13.34,97,65385,840564.00,,INE436A01026,06-Jan-22,,
500014,UTIQUE      ,XT,Q,11.33,11.33,11.33,11.33,11.33,11.92,339,44279,501681.00,,INE096A01010,06-Jan-22,,
500016,ARUNAHTEL   ,XT,Q,9.35,9.90,9.15,9.62,9.60,9.51,76,36482,348814.00,,INE957C01019,06-Jan-22,,
500020,BOM DYEING  ,A ,Q,109.00,110.40,106.55,108.45,108.45,108.45,4368,501091,54294621.00,,INE032A01023,06-Jan-22,,
500023,ASIANHOTNR  ,B ,Q,80.45,88.15,79.10,86.40,86.95,82.35,236,7614,645212.00,,INE363A01022,06-Jan-22,,
500027,ATUL LTD.   ,A ,Q,9200.00,9210.45,9006.35,9163.55,9168.80,9196.70,576,1057,9649906.00,,INE100A01010,06-Jan-22,,
500028,ATV PROJECTS,XT,Q,13.50,13.50,12.75,13.06,13.05,12.96,113,61468,803944.00,,INE447A01015,06-Jan-22,,
500031,BAJAJ ELECT.,A ,Q,1259.90,1259.90,1216.10,1223.70,1223.70,1264.35,3079,22116,27392711.00,,INE193E01025,06-Jan-22,,
500032,BAJAJHIND   ,A ,Q,17.40,17.40,16.70,17.40,17.40,16.60,5664,3876900,66741442.00,,INE306A01021,06-Jan-22,,
500033,FORCE MOTR  ,A ,Q,1246.00,1271.65,1239.85,1260.90,1260.90,1245.45,1285,6041,7618821.00,,INE451A01017,06-Jan-22,,
500034,BAJFINANCE  ,A ,Q,7550.00,7781.10,7525.00,7739.50,7739.50,7668.55,8285,73460,563120223.00,,INE296A01024,06-Jan-22,,
500038,BALRAM.CHINI,A ,Q,413.00,437.55,409.35,423.45,423.45,417.55,8561,355592,152177076.00,,INE119A01028,06-Jan-22,,
500039,BANCO PROD. ,B ,Q,187.90,194.25,181.00,193.10,193.10,185.10,1721,26370,4996507.00,,INE213C01025,06-Jan-22,,
500040,CENTURY TEXT,A ,Q,912.90,924.90,895.35,911.25,911.25,912.90,1963,20425,18670820.00,,INE055A01016,06-Jan-22,,
500041,BANNARI AMAN,A ,Q,2632.00,2933.95,2632.00,2821.20,2843.35,2781.25,276,811,2293892.00,,INE459A01010,06-Jan-22,,
500042,BASF INDIA  ,A ,Q,2950.00,2952.20,2901.85,2937.25,2945.00,2944.40,412,1380,4028026.00,,INE373A01013,06-Jan-22,,
500043,BATA INDIA  ,A ,Q,1813.70,1863.80,1778.55,1857.05,1855.85,1813.30,2310,71202,127807689.00,,INE176A01028,06-Jan-22,,
500048,BEML LTD    ,A ,Q,1800.05,1918.05,1800.05,1859.25,1859.25,1840.75,8450,70512,132225049.00,,INE258A01016,06-Jan-22,,
500049,BHARAT ELECT,A ,Q,209.60,213.10,209.60,211.85,211.85,213.60,2546,144909,30726303.00,,INE263A01024,06-Jan-22,,
500052,BHANSALI ENG,A ,Q,172.50,173.75,171.20,171.90,171.45,174.85,1791,55658,9596633.00,,INE922A01025,06-Jan-22,,
500058,BIHAR SPONGE,XT,Q,12.69,12.74,12.00,12.74,12.74,12.14,554,146100,1846323.00,,INE819C01011,06-Jan-22,,
500060,BIRLACABLE  ,B ,Q,106.40,109.40,102.60,107.35,107.00,105.30,643,18916,2012311.00,,INE800A01015,06-Jan-22,,
500067,BLUE STAR   ,A ,Q,993.25,1030.00,992.40,1014.65,1011.60,997.40,458,1333,1353804.00,,INE472A01039,06-Jan-22,,
500068,DISA INDIA  ,X ,Q,5609.00,5773.95,5609.00,5744.90,5744.90,5675.65,73,217,1245336.00,,INE131C01011,06-Jan-22,,
500069,BNK CAPITAL ,X ,Q,237.00,244.75,232.25,237.40,237.50,239.25,39,867,205896.00,,INE418C01012,06-Jan-22,,
500074,BPL LTD.    ,B ,Q,71.90,73.15,70.20,73.15,73.15,69.70,225,20727,1491311.00,,INE110A01019,06-Jan-22,,
500078,OAL         ,B ,Q,784.00,807.00,763.05,797.80,804.25,783.95,372,2357,1854979.00,,INE959C01023,06-Jan-22,,
500083,CENTURY EXT ,B ,Q,15.25,15.30,14.04,14.98,14.98,14.61,610,228292,3385791.00,,INE281A01026,06-Jan-22,,
500084,CESC LTD.   ,A ,Q,90.00,94.50,89.60,90.60,90.60,89.55,5636,514872,47576404.00,,INE486A01021,06-Jan-22,,
500085,CHAMBAL FERT,A ,Q,425.95,437.25,421.25,427.00,427.30,428.75,2920,110450,47498758.00,,INE085A01013,06-Jan-22,,
500086,EXIDE IND.  ,A ,Q,169.00,171.40,168.00,170.90,170.90,170.55,4094,230186,39082441.00,,INE302A01020,06-Jan-22,,
500087,CIPLA LTD.  ,A ,Q,927.50,935.55,920.00,921.55,921.60,928.25,1799,39780,36828447.00,,INE059A01026,06-Jan-22,,
500089,DIC INDIA   ,B ,Q,400.55,401.15,395.60,398.05,399.80,400.15,23,259,103136.00,,INE303A01010,06-Jan-22,,
500092,CRISIL LTD  ,A ,Q,2890.00,2890.00,2848.00,2869.40,2863.00,2883.70,532,1661,4767082.00,,INE007A01025,06-Jan-22,,
500093,CGPOWER     ,B ,Q,202.65,204.50,195.45,198.05,198.05,202.65,3253,3385799,677266315.00,,INE067A01029,06-Jan-22,,
500096,DABUR (I)   ,A ,Q,578.40,583.40,574.50,582.75,582.75,582.80,3066,108101,62782420.00,,INE016A01026,06-Jan-22,,
500097,DALMIASUG   ,A ,Q,418.95,458.00,413.20,438.10,438.10,422.45,5290,89531,39696478.00,,INE495A01022,06-Jan-22,,
500101,ARVIND Ltd  ,A ,Q,122.05,128.35,119.00,126.15,125.85,122.05,2744,147878,18378365.00,,INE034A01011,06-Jan-22,,
500103,BHEL        ,A ,Q,59.50,60.50,58.55,60.10,60.10,59.80,8539,2579189,153423775.00,,INE257A01026,06-Jan-22,,
500104,HIND.PETRO  ,A ,Q,314.10,316.95,308.95,314.05,314.05,314.10,3785,106285,33363601.00,,INE094A01015,06-Jan-22,,
500106,IFCI LTD    ,A ,Q,16.05,16.45,16.00,16.20,16.20,16.15,6575,1176062,19056959.00,,INE039A01010,06-Jan-22,,
500108,MAHA.TELE   ,A ,Q,31.80,33.40,31.75,33.40,33.40,31.85,1448,481841,15769180.00,,INE153A01019,06-Jan-22,,
500109,MRPL        ,A ,Q,43.20,45.70,43.20,45.30,45.25,44.45,1814,206279,9254837.00,,INE103A01014,06-Jan-22,,
500110,CHENNAI PET.,A ,Q,106.90,108.70,103.85,107.30,107.30,105.70,1582,52557,5626984.00,,INE178A01016,06-Jan-22,,
500111,REL.CAP.    ,B ,Q,14.90,15.59,14.66,15.28,15.28,15.04,1001,378365,5716563.00,,INE013A01015,06-Jan-22,,
500112,STATE BANK  ,A ,Q,486.50,494.35,485.70,491.75,491.75,492.20,11484,625841,306931664.00,,INE062A01020,06-Jan-22,,
500113,STEEL AUTH. ,A ,Q,111.95,113.50,111.15,112.45,112.45,112.90,9178,1722481,193670877.00,,INE114A01011,06-Jan-22,,
500114,TITAN       ,A ,Q,2525.00,2600.00,2525.00,2596.75,2596.75,2576.40,5976,50811,130738123.00,,INE280A01028,06-Jan-22,,
500116,IDBI BANK L ,A ,Q,50.15,52.05,49.85,51.40,51.40,50.80,7261,2417255,124058769.00,,INE008A01015,06-Jan-22,,
500117,DCW LTD.    ,B ,Q,46.70,47.80,45.15,47.35,47.35,46.60,1074,149187,6976196.00,,INE500A01029,06-Jan-22,,
500119,DHAMPUR SUGA,A ,Q,334.40,349.95,326.00,334.25,335.20,333.55,6516,165632,56604032.00,,INE041A01016,06-Jan-22,,
500120,DIAMINES&CHM,X ,Q,257.95,257.95,250.60,253.30,255.00,257.65,202,6224,1576537.00,,INE591D01014,06-Jan-22,,
500123,ELANTAS     ,B ,Q,3665.05,3677.40,3615.00,3656.00,3673.00,3666.60,93,358,1305437.00,,INE280B01018,06-Jan-22,,
500124,DR.REDDY'S  ,A ,Q,4800.00,4836.00,4725.00,4739.70,4728.60,4789.70,1823,14406,68796187.00,,INE089A01023,06-Jan-22,,
500125,E.I.D.PAR   ,A ,Q,479.00,502.45,470.90,476.80,476.80,481.60,4311,79493,38864979.00,,INE126A01031,06-Jan-22,,
500126,PGHL        ,A ,Q,5132.65,5175.95,5114.00,5134.75,5141.65,5191.55,290,555,2852994.00,,INE199A01012,06-Jan-22,,
500128,ELEC.CASTING,B ,Q,34.65,36.00,34.65,35.10,34.90,35.40,737,75302,2655590.00,,INE086A01029,06-Jan-22,,
500133,ESAB INDIA  ,A ,Q,3519.60,3589.95,3420.60,3438.35,3440.80,3515.40,202,290,1009943.00,,INE284A01012,06-Jan-22,,
500135,EPL         ,A ,Q,205.00,205.00,202.00,202.35,202.05,204.30,303,4312,878072.00,,INE255A01020,06-Jan-22,,
500136,ESTER INDUS.,B ,Q,132.05,133.75,131.00,132.00,132.00,133.30,1158,178291,23538074.00,,INE778B01029,06-Jan-22,,
500142,FGP LTD.    ,X ,Q,4.93,4.93,4.93,4.93,4.93,4.70,8,2538,12512.00,,INE512A01016,06-Jan-22,,
500143,P.H.CAPITAL ,X ,Q,183.00,183.35,171.50,183.35,183.35,174.65,132,4718,858844.00,,INE160F01013,06-Jan-22,,
500144,FINOL. CABLE,A ,Q,535.00,535.00,528.10,529.90,530.50,533.60,1003,6504,3453007.00,,INE235A01022,06-Jan-22,,
500147,COCKERILL   ,X ,Q,1380.00,1490.00,1341.10,1451.05,1451.05,1338.95,444,8550,11994092.00,,INE515A01019,06-Jan-22,,
500148,UFLEX LTD   ,A ,Q,525.00,525.00,517.45,520.80,522.00,523.90,1021,7321,3811232.00,,INE516A01017,06-Jan-22,,
500150,FOSECO INDIA,B ,Q,1452.35,1461.10,1441.00,1452.55,1452.55,1460.20,29,289,418531.00,,INE519A01011,06-Jan-22,,
500151,GOLDEN TOB  ,B ,Q,124.95,124.95,118.00,120.30,120.40,120.70,150,3228,384791.00,,INE973A01010,06-Jan-22,,
500153,GANESH BENZO,B ,Q,104.90,110.30,102.15,106.75,106.75,102.25,1622,74861,8052549.00,,INE388A01029,06-Jan-22,,
500159,METROGLOBL  ,X ,Q,94.00,94.00,86.95,88.45,88.10,90.75,87,5710,504713.00,,INE085D01033,06-Jan-22,,
500160,GTL LTD.    ,B ,Q,23.15,23.65,22.65,22.65,22.65,23.80,3822,1200146,27408139.00,,INE043A01012,06-Jan-22,,
500163,GODFREY PH  ,A ,Q,1130.45,1135.00,1122.70,1127.80,1130.45,1144.35,458,2083,2352633.00,,INE260B01028,06-Jan-22,,
500164,GODREJ IND  ,A ,Q,619.10,632.85,615.40,628.70,630.25,621.55,1175,16555,10327464.00,,INE233A01035,06-Jan-22,,
500165,KANSAI NERO ,A ,Q,599.00,599.00,583.00,592.00,594.30,596.60,959,9405,5545511.00,,INE531A01024,06-Jan-22,,
500166,GOODRICKE   ,XT,Q,237.85,238.00,231.05,234.20,231.05,234.70,71,6345,1493434.00,,INE300A01016,06-Jan-22,,
500168,GOODYEAR (I),B ,Q,979.80,985.00,975.30,982.45,982.00,982.85,76,492,483707.00,,INE533A01012,06-Jan-22,,
500170,GTN INDUS   ,XT,Q,39.15,42.80,39.10,42.80,42.80,40.80,121,31967,1333209.00,,INE537A01013,06-Jan-22,,
500171,GHCL LTD    ,A ,Q,380.20,388.50,377.70,386.25,386.25,383.75,984,12969,4986432.00,,INE539A01019,06-Jan-22,,
500173,GFLLIMITED  ,B ,Q,72.05,73.60,72.00,73.00,72.25,72.50,69,998,72414.00,,INE538A01037,06-Jan-22,,
500179,HCL INFOSYS ,B ,Q,22.00,23.60,22.00,23.60,23.60,22.50,1444,489862,11436443.00,,INE236A01020,06-Jan-22,,
500180,HDFC BANK   ,A ,Q,1540.55,1553.50,1530.05,1539.90,1539.90,1564.65,5584,90321,139105065.00,,INE040A01034,06-Jan-22,,
500182,HEROMOTOCO  ,A ,Q,2475.55,2509.10,2463.10,2502.25,2502.25,2507.15,3995,35577,88593443.00,,INE158A01026,06-Jan-22,,
500183,HFCL        ,A ,Q,84.40,88.50,83.60,86.80,86.80,85.45,16369,3342395,289620174.00,,INE548A01028,06-Jan-22,,
500184,HSCL        ,A ,Q,44.50,47.35,44.50,46.65,46.65,45.00,5393,1162471,54049294.00,,INE019C01026,06-Jan-22,,
500185,HIND.CONSTN.,A ,Q,16.15,17.30,16.00,16.90,16.90,16.55,7315,2644394,44191370.00,,INE549A01026,06-Jan-22,,
500186,HIND.OIL EXP,A ,Q,185.05,197.50,183.45,193.35,193.35,187.40,2675,83734,16114822.00,,INE345A01011,06-Jan-22,,
500187,HSIL        ,A ,Q,216.95,219.00,214.65,218.00,218.40,218.70,970,11012,2393068.00,,INE415A01038,06-Jan-22,,
500188,HINDUS.ZI   ,A ,Q,327.15,332.25,327.15,331.45,331.65,331.70,896,22098,7282389.00,,INE267A01025,06-Jan-22,,
500189,NXTDIGITAL  ,B ,Q,406.90,413.85,398.20,411.80,412.75,402.40,534,14331,5899143.00,,INE353A01023,06-Jan-22,,
500191,HMT LTD.    ,Z ,Q,28.50,28.80,28.00,28.80,28.80,28.80,55,5672,162115.00,,INE262A01018,06-Jan-22,,
500192,PRAG BOSIMI ,XT,Q,4.63,4.63,4.63,4.63,4.63,4.41,30,37969,175796.00,,INE962B01011,06-Jan-22,,
500193,HLVLTD      ,T ,Q,10.55,10.84,10.25,10.58,10.58,10.34,196,39344,412257.00,,INE102A01024,06-Jan-22,,
500199,I.G.PETRO   ,B ,Q,704.00,710.65,691.30,707.95,709.00,712.05,765,4512,3182541.00,,INE204A01010,06-Jan-22,,
500201,IND.GLYCOLS ,A ,Q,968.10,1008.40,950.00,975.45,975.45,968.10,2261,20975,20606728.00,,INE560A01015,06-Jan-22,,
500202,IND.LEAS.DEV,X ,Q,9.20,10.46,8.71,9.30,9.78,9.56,85,11837,111713.00,,INE333C01013,06-Jan-22,,
500206,MARGO FIN   ,X ,Q,29.50,31.40,28.75,30.80,30.90,30.00,31,1336,40322.00,,INE680B01019,06-Jan-22,,
500207,INDO RAMA   ,B ,Q,66.75,68.65,65.05,65.80,65.80,66.75,827,64744,4325321.00,,INE156A01020,06-Jan-22,,
500209,INFOSYS LTD ,A ,Q,1827.15,1827.15,1800.00,1818.20,1818.20,1844.95,33945,498350,902179224.00,,INE009A01021,06-Jan-22,,
500210,INGERSOLL   ,A ,Q,1240.00,1280.00,1215.20,1239.05,1252.40,1234.75,464,2640,3314115.00,,INE177A01018,06-Jan-22,,
500211,INSILCO LTD.,X ,Q,8.95,9.41,8.61,9.41,9.41,8.97,268,108671,988035.00,,INE901A01011,06-Jan-22,,
500213,INTER.TRAVEL,X ,Q,90.05,92.00,88.95,91.15,91.15,92.40,56,3439,312428.00,,INE262B01016,06-Jan-22,,
500214,ION EXCHANGE,A ,Q,2120.00,2274.00,2115.00,2155.85,2155.85,2125.35,1882,28281,61723940.00,,INE570A01014,06-Jan-22,,
500215,AGRO TECH FO,A ,Q,971.80,976.15,963.10,973.00,976.00,964.60,38,352,342556.00,,INE209A01019,06-Jan-22,,
500219,JAIN IRRIG  ,A ,Q,44.20,48.65,43.20,48.65,48.65,44.25,5078,1380263,64658377.00,,INE175A01038,06-Jan-22,,
500220,JASCH INDUST,X ,Q,131.95,131.95,125.20,126.80,126.20,131.30,293,15925,2026049.00,,INE711C01010,06-Jan-22,,
500223,JCT LTD     ,XT,Q,6.65,7.33,6.65,7.33,7.33,6.99,7330,7998231,57779661.00,,INE945A01026,06-Jan-22,,
500227,JINDAL POLYF,A ,Q,1053.15,1055.45,1040.90,1051.25,1042.50,1062.35,711,3395,3562105.00,,INE197D01010,06-Jan-22,,
500228,JSWSL       ,A ,Q,692.25,692.25,672.20,673.50,673.50,694.65,5708,170538,115994208.00,,INE019A01038,06-Jan-22,,
500231,UMANG DAIR  ,B ,Q,70.65,72.70,70.60,71.20,71.05,71.85,54,1234,88322.00,,INE864B01027,06-Jan-22,,
500233,KAJARIA CER.,A ,Q,1328.00,1345.00,1316.35,1336.00,1339.75,1324.65,1474,10717,14324426.00,,INE217B01036,06-Jan-22,,
500234,KAKATIYA CEM,B ,Q,229.35,237.05,227.05,230.90,231.00,228.50,279,2327,540881.00,,INE437B01014,06-Jan-22,,
500235,KALYANI STEL,A ,Q,337.00,348.05,337.00,340.50,341.00,334.55,811,15812,5429712.00,,INE907A01026,06-Jan-22,,
500236,KANELIND    ,X ,Q,4.97,5.20,4.80,5.11,5.20,4.97,816,203954,1021491.00,,INE252C01015,06-Jan-22,,
500238,WHIRLPOOL   ,A ,Q,1775.00,1785.50,1748.10,1780.50,1785.00,1778.50,1019,5775,10201601.00,,INE716A01013,06-Jan-22,,
500239,KG DENIM    ,X ,Q,61.70,65.95,58.20,63.05,63.05,60.60,269,52768,3274452.00,,INE104A01012,06-Jan-22,,
500240,KINETIC ENG.,XT,Q,78.20,84.00,77.65,83.10,82.05,81.70,157,13714,1110416.00,,INE266B01017,06-Jan-22,,
500241,KIRL.BROS.  ,A ,Q,339.40,371.85,337.45,357.05,357.60,338.15,610,5921,2111292.00,,INE732A01036,06-Jan-22,,
500243,KIRL INDUS  ,B ,Q,1492.45,1549.95,1492.45,1516.30,1525.20,1521.30,74,205,311047.00,,INE250A01039,06-Jan-22,,
500245,KIRL.FERROUS,A ,Q,209.95,212.75,206.25,207.10,208.50,208.85,1913,39785,8382792.00,,INE884B01025,06-Jan-22,,
500246,ENVAIN ELECT,X ,Q,33.70,35.35,32.05,32.05,32.05,33.70,22,1140,38166.00,,INE601C01013,06-Jan-22,,
500247,KOTAK MAH.BK,A ,Q,1912.95,1914.05,1875.00,1891.95,1891.95,1921.65,4504,69215,130941505.00,,INE237A01028,06-Jan-22,,
500248,KRIFILIND   ,XT,Q,8.85,8.85,8.55,8.84,8.84,8.99,31,3235,28343.00,,INE073A01019,06-Jan-22,,
500249,KSB         ,A ,Q,1228.00,1281.60,1212.95,1243.60,1251.75,1228.60,497,2107,2635721.00,,INE999A01015,06-Jan-22,,
500250,L.G.BALKRISH,A ,Q,622.00,639.20,622.00,630.55,633.50,636.35,1179,13751,8682067.00,,INE337A01034,06-Jan-22,,
500251,TRENT LTD.  ,A ,Q,1059.55,1088.80,1054.50,1080.75,1081.60,1070.35,1790,17746,19033995.00,,INE849A01020,06-Jan-22,,
500252,LAXMIMACH   ,A ,Q,9306.00,9554.15,9240.00,9474.10,9474.10,9345.90,721,1802,16999830.00,,INE269B01029,06-Jan-22,,
500253,LIC HOUS.FIN,A ,Q,380.00,381.85,374.75,379.80,379.80,381.00,1363,50421,19052358.00,,INE115A01026,06-Jan-22,,
500257,LUPIN LTD.  ,A ,Q,932.00,940.75,921.00,923.50,923.50,931.85,1146,22095,20561426.00,,INE326A01037,06-Jan-22,,
500259,LYKA LABS   ,T ,Q,226.55,235.30,220.00,234.95,234.95,224.10,516,40757,9441631.00,,INE933A01014,06-Jan-22,,
500260,RAMCOCEM    ,A ,Q,1000.05,1027.80,984.20,1006.90,1008.50,1029.15,819,7148,7230798.00,,INE331A01037,06-Jan-22,,
500264,MAFATLAL IND,X ,Q,180.00,183.70,175.15,180.95,183.70,178.55,53,3543,636393.00,,INE270B01027,06-Jan-22,,
500265,MAH.SEAMLESS,A ,Q,530.00,570.00,472.00,566.60,570.00,532.65,2299,35624,19785400.00,,INE271B01025,06-Jan-22,,
500266,MAH.SCOOTER ,A ,Q,3800.00,3987.90,3800.00,3979.85,3979.85,3870.55,392,1065,4184611.00,,INE288A01013,06-Jan-22,,
500267,MAJESTIC AUT,X ,Q,134.75,140.05,132.00,135.00,135.40,135.55,173,14380,1950148.00,,INE201B01022,06-Jan-22,,
500268,MANALI PETRO,B ,Q,116.50,117.65,114.40,115.65,115.65,117.05,2346,74570,8636180.00,,INE201A01024,06-Jan-22,,
500271,MFSL        ,A ,Q,996.95,1020.00,989.60,1017.35,1015.45,1014.30,2774,45753,45975170.00,,INE180A01020,06-Jan-22,,
500277,MID INDIA IN,XT,Q,3.04,3.04,3.04,3.04,3.04,3.20,1,200,608.00,,INE401C01018,06-Jan-22,,
500279,MIRC ELECT  ,B ,Q,29.70,31.80,29.35,31.80,31.80,30.30,1550,706285,22228178.00,,INE831A01028,06-Jan-22,,
500280,CENTURY ENKA,B ,Q,464.00,471.90,457.00,464.55,471.90,464.30,1030,7843,3647450.00,,INE485A01015,06-Jan-22,,
500284,LORDS CHLORO,X ,Q,66.40,66.40,62.00,65.05,65.40,64.35,30,2976,189599.00,,INE846D01012,06-Jan-22,,
500285,SPICEJET LTD,A ,Q,65.30,65.60,63.60,65.35,65.35,66.25,6389,687546,44578824.00,,INE285B01017,06-Jan-22,,
500288,MOREPEN LAB.,A ,Q,58.20,58.90,57.40,57.60,57.60,58.30,4677,525693,30554359.00,,INE083A01026,06-Jan-22,,
500290,MRF LTD.    ,A ,Q,74150.00,74385.25,73209.90,74133.65,74000.00,74030.15,135,169,12480597.00,,INE883A01011,06-Jan-22,,
500292,HEIDEL CEM  ,A ,Q,228.00,228.05,224.75,226.05,226.50,228.05,509,5935,1340583.00,,INE578A01017,06-Jan-22,,
500294,NCC         ,A ,Q,68.80,70.85,68.80,70.25,70.35,69.95,2860,431860,30208870.00,,INE868B01028,06-Jan-22,,
500295,VEDL        ,A ,Q,334.50,340.30,332.45,338.20,338.20,333.90,9992,620254,209725895.00,,INE205A01025,06-Jan-22,,
500296,NAHAR SPG.  ,T ,Q,567.00,590.25,552.00,590.25,590.25,562.15,212,11278,6533845.00,,INE290A01027,06-Jan-22,,
500298,NAT.PEROXIDE,B ,Q,1910.00,1919.00,1875.05,1889.45,1894.95,1892.55,200,1542,2919802.00,,INE585A01020,06-Jan-22,,
500300,GRASIM IND. ,A ,Q,1745.75,1745.80,1711.35,1719.95,1723.00,1749.25,2521,27950,48327502.00,,INE047A01021,06-Jan-22,,
500302,PEL         ,A ,Q,2651.00,2665.00,2611.60,2658.60,2665.00,2656.60,1552,9919,26158182.00,,INE140A01024,06-Jan-22,,
500304,NIIT LTD.   ,A ,Q,467.00,476.40,461.45,467.60,467.60,475.65,4578,106237,49877011.00,,INE161A01038,06-Jan-22,,
500306,JAYKAY      ,X ,Q,67.80,67.80,63.20,63.40,63.40,66.50,554,191462,12426779.00,,INE903A01025,06-Jan-22,,
500307,NIRLON      ,B ,Q,393.95,395.00,380.50,388.95,388.60,392.60,89,2568,1001992.00,,INE910A01012,06-Jan-22,,
500312,ONGC CORPN  ,A ,Q,149.65,151.30,148.40,150.70,150.70,150.25,3048,260868,39053717.00,,INE213A01029,06-Jan-22,,
500313,OIL COUNTRY ,B ,Q,10.40,10.40,9.78,9.84,9.84,10.04,69,5094,50472.00,,INE591A01010,06-Jan-22,,
500314,ORIENT HOTEL,B ,Q,41.95,48.45,41.95,47.25,47.25,44.05,1790,122285,5536031.00,,INE750A01020,06-Jan-22,,
500317,OSWAL AGRO. ,B ,Q,35.70,39.15,35.45,39.15,39.15,37.30,189,19914,739058.00,,INE142A01012,06-Jan-22,,
500319,INDIAN SUCRO,X ,Q,49.40,53.60,48.95,52.25,52.00,49.45,255,40234,2102081.00,,INE557C01017,06-Jan-22,,
500325,RELIANCE    ,A ,Q,2454.00,2454.00,2409.00,2416.60,2416.60,2466.05,17706,311647,756093310.00,,INE002A01018,06-Jan-22,,
500327,PILITA      ,B ,Q,9.85,10.91,9.55,10.82,10.82,10.24,1872,1228016,12900348.00,,INE600A01035,06-Jan-22,,
500330,RAYMOND     ,A ,Q,625.00,641.50,620.60,635.10,635.10,629.85,1359,19125,12072809.00,,INE301A01014,06-Jan-22,,
500331,PIDILITE    ,A ,Q,2627.00,2654.20,2605.00,2646.25,2638.45,2637.50,2379,18906,49818658.00,,INE318A01026,06-Jan-22,,
500333,PIX TRANS   ,X ,Q,950.00,965.00,925.00,937.15,937.15,956.35,1165,24658,23225873.00,,INE751B01018,06-Jan-22,,
500335,BIRLA CORPN.,A ,Q,1451.60,1456.25,1420.00,1427.65,1427.65,1458.00,1284,6348,9110133.00,,INE340A01012,06-Jan-22,,
500336,SURYA ROSHNI,A ,Q,503.00,511.20,497.50,500.95,500.20,504.60,1897,40023,20078534.00,,INE335A01012,06-Jan-22,,
500337,PRIME SECUR.,B ,Q,113.25,114.20,108.00,108.90,108.00,111.20,182,1947,215289.00,,INE032B01021,06-Jan-22,,
500338,PRSMJOHNSN  ,A ,Q,130.10,132.45,126.90,129.60,132.00,130.10,720,22932,2959802.00,,INE010A01011,06-Jan-22,,
500339,RAIN        ,A ,Q,238.00,249.00,236.05,245.15,244.05,240.30,4019,239745,58660196.00,,INE855B01025,06-Jan-22,,
500343,AMJLAND     ,B ,Q,34.95,37.25,34.50,37.05,37.20,33.65,285,36083,1287584.00,,INE606A01024,06-Jan-22,,
500346,PUN.COMMUNI.,B ,Q,38.95,40.75,37.15,39.85,39.85,38.35,100,7349,288839.00,,INE609A01010,06-Jan-22,,
500350,RSWM  LTD   ,B ,Q,475.00,524.50,471.15,517.40,517.40,476.90,3081,49877,25280706.00,,INE611A01016,06-Jan-22,,
500354,RAJSH.SUGAR ,T ,Q,32.70,35.50,32.35,35.20,34.60,33.85,176,33742,1183004.00,,INE562B01019,06-Jan-22,,
500355,RALLIS INDIA,A ,Q,270.50,272.45,268.15,271.00,271.00,271.00,590,7991,2163508.00,,INE613A01020,06-Jan-22,,
500356,RAMANEWS    ,B ,Q,21.50,21.85,20.85,21.70,21.70,21.85,286,29276,624679.00,,INE278B01020,06-Jan-22,,
500360,RAPICUT CARB,X ,Q,59.00,60.65,55.60,60.65,60.65,57.80,65,12909,761651.00,,INE350D01015,06-Jan-22,,
500365,WELSPLSOL   ,X ,Q,18.00,21.00,17.50,20.50,20.50,18.25,1509,859639,16870368.00,,INE731F01037,06-Jan-22,,
500366,ROLTA (I)   ,Z ,Q,7.34,8.10,7.34,8.05,8.05,7.72,1231,846986,6584192.00,,INE293A01013,06-Jan-22,,
500367,RUBFILA INT.,X ,Q,110.00,114.50,105.00,113.30,113.30,109.10,1304,157293,17400164.00,,INE642C01025,06-Jan-22,,
500368,RUCHI SOYA  ,B ,Q,859.00,859.00,841.60,849.50,849.50,851.00,303,2669,2267690.00,,INE619A01035,06-Jan-22,,
500370,SALORA INT. ,XT,Q,47.00,49.25,47.00,48.90,48.90,47.50,28,4217,203967.00,,INE924A01013,06-Jan-22,,
500378,JINDAL SAW  ,A ,Q,103.00,103.05,101.55,102.50,102.30,103.00,988,62744,6428327.00,,INE324A01024,06-Jan-22,,
500380,JK LAKSHMI  ,A ,Q,614.50,617.15,606.00,614.80,616.20,614.50,709,6593,4045524.00,,INE786A01032,06-Jan-22,,
