SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,TRADING_DATE,FILLER2,FILLER3
517500,ROTO PUMPS  ,X ,Q,352.00,393.40,352.00,389.05,387.00,363.90,973,84198,32189637.00,,INE535D01029,06-Jan-22,,
517506,TTK PRESTIGE,A ,Q,996.95,1012.75,990.50,999.40,1000.00,1008.50,2044,10474,10494789.00,,INE690A01028,06-Jan-22,,
517514,DHINDIA     ,X ,Q,23.75,24.95,23.25,24.95,24.95,23.75,39,6350,155505.00,,INE589D01018,06-Jan-22,,
517522,RAJ GLO WIR ,T ,Q,2393.70,2393.70,2393.70,2393.70,2393.70,2279.75,201,3937,9423996.00,,INE451D01011,06-Jan-22,,
517530,SURANATP    ,B ,Q,12.85,12.85,12.38,12.85,12.85,12.24,639,565672,7254622.00,,INE130B01031,06-Jan-22,,
517536,ONWARD TECHN,B ,Q,274.35,285.75,274.35,279.10,279.15,276.70,201,2272,638721.00,,INE229A01017,06-Jan-22,,
517544,CENTUM ELEC ,B ,Q,635.90,649.00,615.00,619.15,616.80,636.20,342,1655,1048575.00,,INE320B01020,06-Jan-22,,
517546,ALFA TRANSFO,X ,Q,8.75,8.80,8.55,8.80,8.80,9.00,48,14290,122778.00,,INE209C01015,06-Jan-22,,
517548,STARLITE COM,Z ,Q,9.31,9.31,9.31,9.31,9.31,8.87,22,4375,40731.00,,INE035C01022,06-Jan-22,,
517554,NHCFOODS    ,X ,Q,18.30,18.85,17.25,18.35,18.80,17.80,117,12496,227312.00,,INE141C01028,06-Jan-22,,
517556,PVP VENT LTD,B ,Q,9.44,9.60,9.25,9.60,9.60,9.15,461,452702,4312774.00,,INE362A01016,06-Jan-22,,
517562,TRIGYN TECH ,B ,Q,173.05,194.75,171.15,194.75,194.75,177.05,4305,196133,36848936.00,,INE948A01012,06-Jan-22,,
517569,KEI INDUST. ,A ,Q,1170.00,1170.00,1133.25,1139.40,1139.50,1155.95,1419,6848,7844952.00,,INE878B01027,06-Jan-22,,
517571,IMPPOWERS   ,T ,Q,19.15,20.80,19.00,20.15,20.80,20.00,120,41649,834106.00,,INE065B01013,06-Jan-22,,
518011,KEERTHI     ,XT,Q,190.20,207.35,190.20,207.35,207.35,197.50,105,8047,1661071.00,,INE145L01012,06-Jan-22,,
518029,GUJ.SIDH.CEM,B ,Q,42.50,44.80,42.50,44.15,44.20,44.35,347,12939,567188.00,,INE542A01039,06-Jan-22,,
518075,SURAJ PRODUC,Z ,Q,92.60,101.70,92.15,97.40,98.50,96.95,183,8655,822113.00,,INE069E01019,06-Jan-22,,
518091,ANJANI PORTL,B ,Q,310.00,322.00,307.00,319.00,321.85,318.50,464,6564,2070270.00,,INE071F01012,06-Jan-22,,
519003,MODINATURAL ,X ,Q,248.50,260.85,239.20,260.30,260.80,248.45,488,35246,8771756.00,,INE537F01012,06-Jan-22,,
519064,KHANDEL. EXT,XT,Q,19.10,19.10,18.25,19.05,18.75,18.20,11,349,6630.00,,INE687W01010,06-Jan-22,,
519091,TASTY BITE  ,A ,Q,13977.30,14299.00,13900.00,13959.90,14022.85,14149.35,240,296,4149191.00,,INE488B01017,06-Jan-22,,
519097,RITESH INTER,XT,Q,40.15,40.15,36.70,38.35,39.40,38.25,153,14194,554004.00,,INE534D01014,06-Jan-22,,
519105,AVT NATURAL ,B ,Q,77.05,81.90,77.05,79.45,79.45,77.85,401,25209,2003968.00,,INE488D01021,06-Jan-22,,
